timestamp,origin,destination,distance_m,duration_s
2026-05-14 11:48:49.957299,Suoi Tien,Ben Thanh Market,19040,1294.2
2026-05-14 11:48:51.764484,District 3,District 5,4479.7,346.9
2026-05-14 11:48:53.601179,District 3,Hang Xanh,4984.1,374.8
2026-05-14 11:48:55.437990,Pham Van Dong,Binh Thanh,4086.2,286.9
2026-05-14 11:48:57.241600,Landmark 81,District 3,7786.8,639.8
2026-05-14 11:48:59.070274,VNU HCM,Suoi Tien,5565.7,465.8
2026-05-14 11:49:00.881273,Pham Van Dong,Hang Xanh,5327.8,385.9
2026-05-14 11:49:02.712751,Suoi Tien,VNU HCM,3163.8,311.9
2026-05-14 11:49:04.555272,VNU HCM,Saigon Bridge,15804.4,1027.3
2026-05-14 11:49:06.418786,Tan Son Nhat Airport,VNU HCM,26109.9,1679.8
2026-05-14 11:49:08.258393,District 1,District 3,3560.6,309.5
2026-05-14 11:49:10.118577,Thu Duc,District 3,13903.5,903.3
2026-05-14 11:49:11.966840,Landmark 81,Thu Duc,10991.8,768.6
2026-05-14 11:49:13.797686,Suoi Tien,Binh Thanh,16429.6,889.6
2026-05-14 11:49:15.938580,Ben Thanh Market,District 5,4415.5,354.2
2026-05-14 11:49:17.770098,Tan Son Nhat Airport,Pham Van Dong,9639.5,793.8
2026-05-14 11:49:19.627482,Pham Van Dong,Ben Thanh Market,9615.4,704.5
2026-05-14 11:49:21.473427,Thu Duc,Linh Trung,6943.1,520.4
2026-05-14 11:49:23.301703,Hang Xanh,Thu Thiem Tunnel,7172.3,611.9
2026-05-14 11:49:25.132607,District 1,District 3,3560.6,309.5
2026-05-14 11:49:26.970492,Landmark 81,Thu Duc,10991.8,768.6
2026-05-14 11:49:28.803295,High Tech Park,Suoi Tien,5018.7,354.5
2026-05-14 11:49:30.622624,Linh Trung,High Tech Park,7963.2,643
2026-05-14 11:49:32.454516,Thu Duc,Ben Thanh Market,13804.6,936.2
2026-05-14 11:49:34.340244,Eastern Bus Station,Thu Thiem Tunnel,10200,732.6
2026-05-14 11:49:36.205101,Hang Xanh,VNU HCM,19798.6,1109.1
2026-05-14 11:49:38.040312,Tan Son Nhat Airport,Suoi Tien,23381.9,1450.3
2026-05-14 11:49:39.860165,Eastern Bus Station,Hang Xanh,4185.3,277.3
2026-05-14 11:49:41.664722,District 3,Pham Van Dong,8176.1,576.3
2026-05-14 11:49:43.496248,Binh Thanh,Thu Thiem Tunnel,7274.8,560.2
2026-05-14 11:49:45.352381,Linh Trung,Eastern Bus Station,12558.8,698.2
2026-05-14 11:49:47.167354,Pham Van Dong,Thu Duc,4798,336.3
2026-05-14 11:49:48.983774,District 1,Ben Thanh Market,770.5,85.5
2026-05-14 11:49:50.834482,District 1,Eastern Bus Station,6598.1,456.9
2026-05-14 11:49:52.664398,Linh Trung,High Tech Park,7963.2,643
2026-05-14 11:49:54.487335,Thu Duc,VNU HCM,8960.1,700.2
2026-05-14 11:49:56.335260,High Tech Park,Hang Xanh,15531.1,976.4
2026-05-14 11:49:58.181510,Suoi Tien,Tan Son Nhat Airport,23072.2,1390.7
2026-05-14 11:49:59.982217,Binh Thanh,VNU HCM,17921.8,1143.4
2026-05-14 11:50:01.878135,Pham Van Dong,Linh Trung,11279.3,809.9
2026-05-14 11:50:03.738703,Tan Son Nhat Airport,Binh Thanh,8669.7,771.7
2026-05-14 11:50:05.598926,Ben Thanh Market,Landmark 81,5383.8,502.4
2026-05-14 11:50:07.427643,Suoi Tien,Thu Thiem Tunnel,19359.3,1305.2
2026-05-14 11:50:09.240326,VNU HCM,Suoi Tien,5565.7,465.8
2026-05-14 11:50:11.180405,Binh Thanh,Linh Trung,16836.3,956.5
2026-05-14 11:50:13.055805,Landmark 81,District 1,5018.4,459.3
2026-05-14 11:50:14.945613,Thu Duc,Pham Van Dong,4964.4,378.4
2026-05-14 11:50:16.772298,Eastern Bus Station,Thu Duc,6730.8,425.5
2026-05-14 11:50:18.650607,District 1,Landmark 81,4579.7,422.4
2026-05-14 11:50:20.465407,Suoi Tien,District 1,21262.7,1245.4
2026-05-14 11:50:22.408926,Saigon Bridge,District 5,9489.5,674.2
2026-05-14 11:50:24.281546,Pham Van Dong,Linh Trung,11279.3,809.9
2026-05-14 11:50:26.110671,District 3,District 1,3743.9,294.4
2026-05-14 11:50:27.937399,Hang Xanh,Eastern Bus Station,2642.9,171
2026-05-14 11:50:30.025895,Landmark 81,Thu Thiem Tunnel,6918.9,616
2026-05-14 11:50:31.831447,Thu Duc,Linh Trung,6943.1,520.4
2026-05-14 11:50:33.676338,District 3,Saigon Bridge,6423.7,467.7
2026-05-14 11:50:35.478693,Landmark 81,Binh Thanh,5481.6,420.9
2026-05-14 11:50:37.295804,Hang Xanh,Pham Van Dong,3335,246.4
2026-05-14 11:50:39.123797,Ben Thanh Market,Landmark 81,5383.8,502.4
2026-05-14 11:50:40.966875,Eastern Bus Station,Hang Xanh,4185.3,277.3
2026-05-14 11:50:42.790637,Thu Thiem Tunnel,High Tech Park,17424.7,1070.9
2026-05-14 11:50:44.613515,Pham Van Dong,Saigon Bridge,6174.9,475
2026-05-14 11:50:46.445156,Suoi Tien,Landmark 81,14690.4,985.9
2026-05-14 11:50:48.253789,District 1,Thu Thiem Tunnel,2497.7,222.2
2026-05-14 11:50:50.122676,VNU HCM,Linh Trung,5596,550.8
2026-05-14 11:50:51.930459,Hang Xanh,Suoi Tien,17070.6,879.6
2026-05-14 11:50:53.754946,Ben Thanh Market,District 5,4415.5,354.2
2026-05-14 11:50:55.566850,Pham Van Dong,Ben Thanh Market,9615.4,704.5
2026-05-14 11:50:57.437831,District 1,Thu Duc,12018,803
2026-05-14 11:50:59.345497,Pham Van Dong,Suoi Tien,10568.3,760.2
2026-05-14 11:51:01.239334,High Tech Park,Landmark 81,15002.5,961.4
2026-05-14 11:51:03.091844,VNU HCM,Eastern Bus Station,16814.2,961.3
2026-05-14 11:51:04.912087,Suoi Tien,District 3,22677.6,1316.4
2026-05-14 11:51:06.760494,Thu Duc,High Tech Park,7567.5,584
2026-05-14 11:51:08.604034,Ben Thanh Market,Suoi Tien,18376.6,1165.2
2026-05-14 11:51:10.452851,Eastern Bus Station,Binh Thanh,2943.7,178.3
2026-05-14 11:51:12.286887,Linh Trung,Thu Thiem Tunnel,21447.9,1351.4
2026-05-14 11:51:14.133652,High Tech Park,Landmark 81,15002.5,961.4
2026-05-14 11:51:16.013718,Saigon Bridge,Landmark 81,1078.4,138.2
2026-05-14 11:51:17.884415,Suoi Tien,Hang Xanh,17671.2,988.6
2026-05-14 11:51:19.707636,Suoi Tien,High Tech Park,6130.1,501.8
2026-05-14 11:51:21.535795,Landmark 81,District 1,5018.4,459.3
2026-05-14 11:51:23.388669,District 1,Thu Thiem Tunnel,2497.7,222.2
2026-05-14 11:51:25.256591,High Tech Park,Landmark 81,15002.5,961.4
2026-05-14 11:51:27.122719,Linh Trung,Tan Son Nhat Airport,20834.3,1298.2
2026-05-14 11:51:28.975120,Linh Trung,Eastern Bus Station,12558.8,698.2
2026-05-14 11:51:30.807239,District 1,Linh Trung,19674.3,1182.4
2026-05-14 11:51:32.623848,District 5,District 3,4436.2,365.6
2026-05-14 11:51:34.482369,Eastern Bus Station,District 1,7776.8,534.1
2026-05-14 11:51:36.306578,Landmark 81,Thu Thiem Tunnel,6918.9,616
2026-05-14 11:51:38.124087,Tan Son Nhat Airport,Pham Van Dong,9639.5,793.8
2026-05-14 11:51:39.963917,High Tech Park,Thu Thiem Tunnel,19671.4,1280.7
2026-05-14 11:51:41.779239,District 3,District 5,4479.7,346.9
2026-05-14 11:51:43.634632,Ben Thanh Market,District 1,1502.8,173.1
2026-05-14 11:51:45.495932,Tan Son Nhat Airport,High Tech Park,21455.1,1600.9
2026-05-14 11:51:47.331086,Eastern Bus Station,Hang Xanh,4185.3,277.3
2026-05-14 11:51:49.152730,VNU HCM,Pham Van Dong,17506.4,1036.7
2026-05-14 11:51:51.004869,High Tech Park,Eastern Bus Station,16815.5,934.9
2026-05-14 11:51:52.835692,Thu Thiem Tunnel,Binh Thanh,8187.6,578
2026-05-14 11:51:54.692764,Pham Van Dong,Eastern Bus Station,3860,264.4
2026-05-14 11:51:56.577863,Linh Trung,District 1,19024.7,1152.9
2026-05-14 11:51:58.392714,Tan Son Nhat Airport,Landmark 81,9925.4,863.5
2026-05-14 11:52:00.218892,District 3,District 1,3743.9,294.4
2026-05-14 11:52:02.077695,VNU HCM,Linh Trung,5596,550.8
2026-05-14 11:52:03.931979,Tan Son Nhat Airport,Eastern Bus Station,8954.2,741.7
2026-05-14 11:52:05.725142,Thu Thiem Tunnel,Landmark 81,4899.5,433.1
2026-05-14 11:52:07.590647,Binh Thanh,High Tech Park,16529.1,1027.2
2026-05-14 11:52:09.485449,Suoi Tien,VNU HCM,3163.8,311.9
2026-05-14 11:52:11.336094,Binh Thanh,District 3,6266.5,432.7
2026-05-14 11:52:13.183556,District 1,District 5,4868.2,397.4
2026-05-14 11:52:15.034682,High Tech Park,District 5,23360.5,1503.2
2026-05-14 11:52:16.888326,Binh Thanh,Landmark 81,2963.8,267.7
2026-05-14 11:52:18.728275,District 1,Linh Trung,19674.3,1182.4
2026-05-14 11:52:20.598065,VNU HCM,District 1,20246.6,1362
2026-05-14 11:52:22.445074,Hang Xanh,Ben Thanh Market,5445.2,475.2
2026-05-14 11:52:24.318323,High Tech Park,Linh Trung,5597.3,524.4
2026-05-14 11:52:26.234301,Suoi Tien,Ben Thanh Market,19040,1294.2
2026-05-14 11:52:28.040640,Linh Trung,Ben Thanh Market,19720.8,1214.7
2026-05-14 11:52:29.898939,Thu Thiem Tunnel,Hang Xanh,5777.9,453.5
2026-05-14 11:52:31.724751,High Tech Park,Tan Son Nhat Airport,21205.5,1475.1
2026-05-14 11:52:33.536257,High Tech Park,District 1,18893.6,1221.7
2026-05-14 11:52:35.357260,Tan Son Nhat Airport,Pham Van Dong,9639.5,793.8
2026-05-14 11:52:37.211010,Eastern Bus Station,District 5,12306.3,788.5
2026-05-14 11:52:39.064004,Binh Thanh,Thu Thiem Tunnel,7274.8,560.2
2026-05-14 11:52:40.922738,District 3,Hang Xanh,4984.1,374.8
2026-05-14 11:52:42.748029,VNU HCM,District 5,24713.5,1643.5
2026-05-14 11:52:44.556435,VNU HCM,District 5,24713.5,1643.5
2026-05-14 11:52:46.404367,Linh Trung,VNU HCM,8147.5,670.1
2026-05-14 11:52:48.262141,Saigon Bridge,Pham Van Dong,4852,348.9
2026-05-14 11:52:50.090824,Saigon Bridge,District 5,9489.5,674.2
2026-05-14 11:52:51.923769,Ben Thanh Market,Thu Duc,12775.1,850.4
2026-05-14 11:52:53.772396,Thu Duc,Hang Xanh,9517,617.6
2026-05-14 11:52:55.589675,Eastern Bus Station,Suoi Tien,14427.7,708.6
2026-05-14 11:52:57.417740,District 1,Eastern Bus Station,6598.1,456.9
2026-05-14 11:52:59.235781,Thu Thiem Tunnel,High Tech Park,17424.7,1070.9
2026-05-14 11:53:01.074291,District 1,Thu Thiem Tunnel,2497.7,222.2
2026-05-14 11:53:02.902988,Saigon Bridge,Landmark 81,1078.4,138.2
2026-05-14 11:53:04.705551,Binh Thanh,Saigon Bridge,3112.1,219.8
2026-05-14 11:53:06.781534,District 3,Thu Thiem Tunnel,4765.6,375.8
2026-05-14 11:53:08.613404,Tan Son Nhat Airport,Eastern Bus Station,8954.2,741.7
2026-05-14 11:53:10.459793,Saigon Bridge,Thu Thiem Tunnel,7102.5,574.6
2026-05-14 11:53:12.299056,Tan Son Nhat Airport,Pham Van Dong,9639.5,793.8
2026-05-14 11:53:14.129890,Ben Thanh Market,Thu Thiem Tunnel,2691.8,249.3
2026-05-14 11:53:15.947651,Landmark 81,Linh Trung,14165.6,1016.3
2026-05-14 11:53:17.754284,Tan Son Nhat Airport,Hang Xanh,8221.7,700.7
2026-05-14 11:53:19.555073,District 1,Landmark 81,4579.7,422.4
2026-05-14 11:53:21.406568,Eastern Bus Station,VNU HCM,17155.7,938.1
2026-05-14 11:53:23.288821,District 3,VNU HCM,21233.4,1391.3
2026-05-14 11:53:25.126231,Linh Trung,Suoi Tien,5419.5,440.6
2026-05-14 11:53:26.985832,Suoi Tien,Ben Thanh Market,19040,1294.2
2026-05-14 11:53:28.858008,Thu Thiem Tunnel,Eastern Bus Station,8277.9,579.6
2026-05-14 11:53:30.676461,District 5,VNU HCM,23940.3,1595.3
2026-05-14 11:53:32.529231,Hang Xanh,District 5,9278.6,667.8
2026-05-14 11:53:34.350610,Ben Thanh Market,Linh Trung,20431.4,1229.8
2026-05-14 11:53:36.161716,Suoi Tien,Landmark 81,14690.4,985.9
2026-05-14 11:53:37.983551,Tan Son Nhat Airport,Landmark 81,9925.4,863.5
2026-05-14 11:53:39.850587,Eastern Bus Station,District 5,12306.3,788.5
2026-05-14 11:53:41.695375,Linh Trung,Landmark 81,17136.9,1058.9
2026-05-14 11:53:43.538001,Tan Son Nhat Airport,Eastern Bus Station,8954.2,741.7
2026-05-14 11:53:45.366200,Suoi Tien,Ben Thanh Market,19040,1294.2
2026-05-14 11:53:47.200968,District 5,Thu Thiem Tunnel,5709.9,488.8
2026-05-14 11:53:50.140798,VNU HCM,Eastern Bus Station,16814.2,961.3
2026-05-14 11:53:53.215124,Thu Thiem Tunnel,Tan Son Nhat Airport,10629.8,866.8
2026-05-14 11:53:55.772261,District 5,District 1,5848.2,458.1
2026-05-14 11:53:57.941546,Saigon Bridge,Thu Duc,9579.8,619.6
2026-05-14 11:53:59.813279,Tan Son Nhat Airport,Ben Thanh Market,8221,740.5
2026-05-14 11:54:01.902148,Binh Thanh,Ben Thanh Market,5547.7,423.5
2026-05-14 11:54:04.872808,Hang Xanh,Saigon Bridge,2376.2,231.6
2026-05-14 11:54:06.737495,Hang Xanh,Landmark 81,2861.3,319.4
2026-05-14 11:54:08.865132,Saigon Bridge,District 3,6374.8,490.8
2026-05-14 11:54:10.694194,VNU HCM,Binh Thanh,18447.1,1060.2
2026-05-14 11:54:12.562165,Ben Thanh Market,Thu Thiem Tunnel,2691.8,249.3
2026-05-14 11:54:14.402329,Pham Van Dong,District 1,8919.3,642.7
2026-05-14 11:54:17.265961,High Tech Park,District 5,23360.5,1503.2
2026-05-14 11:54:19.111791,Linh Trung,Pham Van Dong,13250.9,773.6
2026-05-14 11:54:22.047990,Linh Trung,High Tech Park,7963.2,643
2026-05-14 11:54:24.911673,Hang Xanh,Eastern Bus Station,2642.9,171
2026-05-14 11:54:27.859521,Saigon Bridge,District 3,6374.8,490.8
2026-05-14 11:54:31.337237,Ben Thanh Market,High Tech Park,19711.9,1278.5
2026-05-14 11:54:33.199223,District 5,Eastern Bus Station,10191,704.9
2026-05-14 11:54:35.113150,Linh Trung,District 5,23554.3,1407.3
2026-05-14 11:54:36.972103,Suoi Tien,Linh Trung,3578.5,380.2
2026-05-14 11:54:39.844845,Saigon Bridge,District 3,6374.8,490.8
2026-05-14 11:54:41.751859,Binh Thanh,Eastern Bus Station,3760,231
2026-05-14 11:54:43.637272,Linh Trung,Saigon Bridge,16280.3,987.9
2026-05-14 11:54:45.469246,Binh Thanh,Pham Van Dong,4452.1,306.4
2026-05-14 11:54:47.291925,Binh Thanh,District 1,4851.6,361.7
2026-05-14 11:54:49.115505,High Tech Park,Landmark 81,15002.5,961.4
2026-05-14 11:54:50.943329,Pham Van Dong,High Tech Park,11903.6,873.5
2026-05-14 11:54:52.756757,Hang Xanh,Pham Van Dong,3335,246.4
2026-05-14 11:54:54.598398,District 3,Pham Van Dong,8176.1,576.3
2026-05-14 11:54:56.486160,District 3,Ben Thanh Market,2945,249.1
2026-05-14 11:54:58.326656,District 1,Thu Duc,12018,803
2026-05-14 11:55:00.184600,Eastern Bus Station,Thu Thiem Tunnel,10200,732.6
2026-05-14 11:55:02.028507,High Tech Park,Hang Xanh,15531.1,976.4
2026-05-14 11:55:03.858619,District 1,Landmark 81,4579.7,422.4
2026-05-14 11:55:05.693992,Pham Van Dong,VNU HCM,13296.3,989.7
2026-05-14 11:55:07.505458,Ben Thanh Market,Thu Duc,12775.1,850.4
2026-05-14 11:55:10.098768,Pham Van Dong,High Tech Park,11903.6,873.5
2026-05-14 11:55:11.923396,Thu Thiem Tunnel,Linh Trung,16733.2,1112.5
2026-05-14 11:55:13.733945,Ben Thanh Market,Hang Xanh,4855.2,378.2
2026-05-14 11:55:15.626348,Tan Son Nhat Airport,Binh Thanh,8669.7,771.7
2026-05-14 11:55:17.445305,Binh Thanh,High Tech Park,16529.1,1027.2
2026-05-14 11:55:19.300836,Eastern Bus Station,Binh Thanh,2943.7,178.3
2026-05-14 11:55:21.451359,Eastern Bus Station,Hang Xanh,4185.3,277.3
2026-05-14 11:55:23.359363,Ben Thanh Market,Linh Trung,20431.4,1229.8
2026-05-14 11:55:25.232228,Linh Trung,Eastern Bus Station,12558.8,698.2
2026-05-14 11:55:27.865789,Pham Van Dong,High Tech Park,11903.6,873.5
2026-05-14 11:55:29.734697,Pham Van Dong,Thu Duc,4798,336.3
2026-05-14 11:55:31.542343,Hang Xanh,District 3,6164,484.4
2026-05-14 11:55:33.414289,Pham Van Dong,District 1,8919.3,642.7
2026-05-14 11:55:35.241109,Linh Trung,Thu Thiem Tunnel,21447.9,1351.4
2026-05-14 11:55:37.094239,Ben Thanh Market,Pham Van Dong,8047.3,579.7
2026-05-14 11:55:38.973471,Saigon Bridge,Thu Duc,9579.8,619.6
2026-05-14 11:55:40.799265,District 3,Hang Xanh,4984.1,374.8
2026-05-14 11:55:42.642108,Saigon Bridge,Suoi Tien,13726.9,824.4
2026-05-14 11:55:44.480157,Tan Son Nhat Airport,Linh Trung,22030.4,1467.2
2026-05-14 11:55:46.318299,Saigon Bridge,Ben Thanh Market,5718.6,454.5
2026-05-14 11:55:48.152222,Thu Thiem Tunnel,Suoi Tien,16089.3,957.6
2026-05-14 11:55:49.950899,Binh Thanh,Thu Duc,9179.9,577.1
2026-05-14 11:55:51.797010,Pham Van Dong,District 3,9714.3,671.6
2026-05-14 11:55:53.661211,District 1,High Tech Park,18455.9,1223.3
2026-05-14 11:55:55.479605,Linh Trung,Hang Xanh,15433.2,896.1
2026-05-14 11:55:57.417753,Eastern Bus Station,Ben Thanh Market,8472.9,595.9
2026-05-14 11:55:59.540914,VNU HCM,Thu Duc,8855.3,691.6
2026-05-14 11:56:01.429158,Thu Thiem Tunnel,Thu Duc,13543.8,892.4
2026-05-14 11:56:03.278675,Eastern Bus Station,District 5,12306.3,788.5
2026-05-14 11:56:05.078395,Suoi Tien,Pham Van Dong,15488.9,866.1
2026-05-14 11:56:06.916759,Ben Thanh Market,Hang Xanh,4855.2,378.2
2026-05-14 11:56:08.742531,Suoi Tien,Ben Thanh Market,19040,1294.2
2026-05-14 11:56:10.592217,District 5,High Tech Park,22547.7,1479.1
2026-05-14 11:56:12.426171,Tan Son Nhat Airport,District 3,5361.2,549.8
2026-05-14 11:56:14.279450,Saigon Bridge,Thu Duc,9579.8,619.6
2026-05-14 11:56:16.119437,Binh Thanh,Hang Xanh,1260.1,104.9
2026-05-14 11:56:17.930896,District 1,Hang Xanh,4098.1,330.8
2026-05-14 11:56:19.740216,Ben Thanh Market,Pham Van Dong,8047.3,579.7
2026-05-14 11:56:21.601611,District 1,Saigon Bridge,5010.8,397.6
2026-05-14 11:56:23.438648,Thu Duc,Hang Xanh,9517,617.6
2026-05-14 11:56:25.366598,Tan Son Nhat Airport,Binh Thanh,8669.7,771.7
2026-05-14 11:56:27.188538,Linh Trung,Thu Thiem Tunnel,21447.9,1351.4
2026-05-14 11:56:29.046318,Linh Trung,Thu Duc,6037.4,475
2026-05-14 11:56:30.893749,High Tech Park,District 5,23360.5,1503.2
2026-05-14 11:56:32.709521,Hang Xanh,District 1,4749.1,413.4
2026-05-14 11:56:34.531021,Pham Van Dong,Landmark 81,7031.6,548.7
2026-05-14 11:56:36.378708,Landmark 81,Tan Son Nhat Airport,10350.4,853.9
2026-05-14 11:56:38.264754,Binh Thanh,District 1,4851.6,361.7
2026-05-14 11:56:40.118726,District 5,Thu Duc,15610.9,1051
2026-05-14 11:56:41.933270,Pham Van Dong,Linh Trung,11279.3,809.9
2026-05-14 11:56:43.796006,Hang Xanh,VNU HCM,19798.6,1109.1
2026-05-14 11:56:45.667279,District 1,Tan Son Nhat Airport,7654.6,653.2
2026-05-14 11:56:47.511164,Ben Thanh Market,High Tech Park,19711.9,1278.5
2026-05-14 11:56:49.318082,Ben Thanh Market,Saigon Bridge,6294.8,471.1
2026-05-14 11:56:51.157030,District 3,Pham Van Dong,8176.1,576.3
2026-05-14 11:56:52.996601,Tan Son Nhat Airport,Suoi Tien,23381.9,1450.3
2026-05-14 11:56:54.798390,VNU HCM,Hang Xanh,16884,1116.7
2026-05-14 11:56:56.636968,Binh Thanh,Suoi Tien,15193.8,913.9
2026-05-14 11:56:58.451904,Hang Xanh,Linh Trung,15719.2,896.5
2026-05-14 11:57:00.300041,District 5,Thu Thiem Tunnel,5709.9,488.8
2026-05-14 11:57:02.159877,Suoi Tien,District 1,21262.7,1245.4
2026-05-14 11:57:04.011293,Pham Van Dong,Thu Thiem Tunnel,11342.5,841.2
2026-05-14 11:57:05.841227,District 1,Linh Trung,19674.3,1182.4
2026-05-14 11:57:07.690230,Thu Duc,Hang Xanh,9517,617.6
2026-05-14 11:57:09.515310,Saigon Bridge,Hang Xanh,1660,147.4
2026-05-14 11:57:11.358331,Suoi Tien,Linh Trung,3578.5,380.2
2026-05-14 11:57:13.239576,District 5,Binh Thanh,10100.7,703.3
2026-05-14 11:57:15.055662,Tan Son Nhat Airport,Saigon Bridge,10073.7,815.6
2026-05-14 11:57:16.934237,District 5,Suoi Tien,21212.4,1365.8
2026-05-14 11:57:18.759508,Suoi Tien,Tan Son Nhat Airport,23072.2,1390.7
2026-05-14 11:57:20.611409,VNU HCM,District 3,21598.9,1460.1
2026-05-14 11:57:22.452552,Thu Thiem Tunnel,High Tech Park,17424.7,1070.9
2026-05-14 11:57:24.261280,Tan Son Nhat Airport,Landmark 81,9925.4,863.5
2026-05-14 11:57:26.109429,Tan Son Nhat Airport,Binh Thanh,8669.7,771.7
2026-05-14 11:57:27.937425,Ben Thanh Market,Linh Trung,20431.4,1229.8
2026-05-14 11:57:29.784200,District 5,Linh Trung,23267.2,1430.4
2026-05-14 11:57:31.584453,Thu Thiem Tunnel,Hang Xanh,5777.9,453.5
2026-05-14 11:57:33.505270,Linh Trung,District 3,20439.7,1223.9
2026-05-14 11:57:35.411251,Thu Duc,Tan Son Nhat Airport,13940.2,955
2026-05-14 11:57:37.253171,Linh Trung,Thu Thiem Tunnel,21447.9,1351.4
2026-05-14 11:57:39.081175,District 3,Ben Thanh Market,2945,249.1
2026-05-14 11:57:40.892298,Binh Thanh,Ben Thanh Market,5547.7,423.5
2026-05-14 11:57:42.694235,Saigon Bridge,District 5,9489.5,674.2
2026-05-14 11:57:44.510889,Thu Duc,Suoi Tien,6232.2,470.7
2026-05-14 11:57:46.329063,Binh Thanh,Thu Duc,9179.9,577.1
2026-05-14 11:57:48.151474,Landmark 81,Ben Thanh Market,5840.4,519
2026-05-14 11:57:49.999491,Hang Xanh,Saigon Bridge,2376.2,231.6
2026-05-14 11:57:51.811121,District 3,Tan Son Nhat Airport,5138.1,499.9
2026-05-14 11:57:53.652521,District 5,Binh Thanh,10100.7,703.3
2026-05-14 11:57:55.478782,Pham Van Dong,Hang Xanh,5327.8,385.9
2026-05-14 11:57:57.323814,Suoi Tien,Pham Van Dong,15488.9,866.1
2026-05-14 11:57:59.170096,Thu Duc,District 3,13903.5,903.3
2026-05-14 11:58:01.088785,Tan Son Nhat Airport,Pham Van Dong,9639.5,793.8
2026-05-14 11:58:02.937438,Eastern Bus Station,Binh Thanh,2943.7,178.3
2026-05-14 11:58:04.775660,Eastern Bus Station,District 3,9191.7,605.1
2026-05-14 11:58:06.621360,Thu Thiem Tunnel,Ben Thanh Market,3748.6,316
